TIME,Gross_domestic_product_GDP,National_income,Personal_income_receipts_on_assets,Personal_income,Unemployment
1948Q1,265742,235848,16541,206493,0.0373333333333333
1948Q2,272567,244049,16323,211974,0.0366666666666667
1948Q3,279196,248774,16903,217423,0.0376666666666667
1948Q4,280366,250735,17373,218101,0.0383333333333333
1949Q1,275034,243317,17504,212023,0.0466666666666667
1949Q2,271351,239735,17746,210989,0.0586666666666667
1949Q3,272889,239882,17933,210411,0.067
1949Q4,270627,235983,18527,210862,0.0696666666666667
1950Q1,280828,246329,19713,226320,0.064
1950Q2,290383,258482,20090,227664,0.0556666666666667
1950Q3,308153,275558,21149,236060,0.0463333333333333
1950Q4,319945,286082,21784,244896,0.0423333333333333
1951Q1,336000,297818,20877,254140,0.035
1951Q2,344090,305197,21369,263109,0.031
1951Q3,351385,310552,21566,267548,0.0316666666666667
1951Q4,356178,316979,21935,272131,0.0336666666666667
1952Q1,359820,318523,21645,274284,0.0306666666666667
1952Q2,361030,320447,22513,278260,0.0296666666666667
1952Q3,367701,326976,22752,285331,0.0323333333333333
1952Q4,380812,338501,23319,291961,0.0283333333333333
1953Q1,387980,344485,23436,296379,0.027
1953Q2,391749,347303,24613,300238,0.0256666666666667
1953Q3,391171,345593,24901,300144,0.0273333333333333
1953Q4,385970,337974,25153,300148,0.037
1954Q1,385345,339616,26106,300127,0.0526666666666667
1954Q2,386121,339906,25932,299797,0.058
1954Q3,390996,343287,26742,301783,0.0596666666666667
1954Q4,399734,352199,27324,307175,0.0533333333333333
1955Q1,413073,364606,28207,313515,0.0473333333333333
1955Q2,421532,373957,28749,321060,0.044
1955Q3,430221,381358,29813,328471,0.041
1955Q4,437092,387693,30433,333585,0.0423333333333333
1956Q1,439746,391241,31218,338983,0.0403333333333333
1956Q2,446010,397010,31836,344790,0.042
1956Q3,451191,401885,32499,350083,0.0413333333333333
1956Q4,460463,410083,33649,357751,0.0413333333333333
1957Q1,469779,416849,34531,362367,0.0393333333333333
